BLOCK	ACTUAL_P	P_AVE	ERROR
673	1.60031	1.50436	0.0048207
674	1.39081	1.5042	0.00481649
675	1.45834	1.50413	0.00480983
676	1.57093	1.50423	0.00480373
677	1.57662	1.50433	0.00479782
678	1.46648	1.50428	0.00479107
679	1.5023	1.50428	0.00478402
680	1.27677	1.50394	0.00478867
681	1.64474	1.50415	0.0047861
682	1.36691	1.50395	0.00478331
683	1.38406	1.50377	0.00477952
684	1.59404	1.5039	0.00477436
685	1.39719	1.50375	0.00476993
686	1.37702	1.50356	0.00476655
687	1.53761	1.50361	0.00475987
688	1.57777	1.50372	0.00475417
689	1.49235	1.5037	0.0047473
690	1.63137	1.50389	0.00474402
691	1.52031	1.50391	0.00473722
692	1.54641	1.50397	0.00473077
693	1.51298	1.50399	0.00472396
694	1.35796	1.50378	0.00472184
695	1.31332	1.5035	0.00472299
696	1.48325	1.50347	0.00471629
697	1.55687	1.50355	0.00471015
698	1.46726	1.5035	0.00470369
699	1.61016	1.50365	0.00469943
700	1.48844	1.50363	0.00469277
701	1.41951	1.50351	0.00468761
702	1.40695	1.50337	0.00468295
703	1.50371	1.50337	0.00467629
704	1.61736	1.50353	0.00467245
705	1.46475	1.50348	0.00466614
706	1.39981	1.50333	0.00466185
707	1.43065	1.50323	0.00465638
708	1.2828	1.50292	0.0046602
709	1.55721	1.50299	0.00465426
710	1.54016	1.50305	0.004648
711	1.46148	1.50299	0.00464183
712	1.50477	1.50299	0.00463531
713	1.65062	1.5032	0.00463343
714	1.57699	1.5033	0.0046281
715	1.53207	1.50334	0.0046218
716	1.58212	1.50345	0.00461665
717	1.57471	1.50355	0.00461128
718	1.35276	1.50334	0.00460964
719	1.25453	1.50299	0.0046162
720	1.42599	1.50289	0.00461103
721	1.36528	1.5027	0.00460858
722	1.43582	1.5026	0.00460313
723	1.49848	1.5026	0.00459676
724	1.45327	1.50253	0.00459092
725	1.41412	1.50241	0.00458621
726	1.30928	1.50214	0.0045876
727	1.48222	1.50211	0.00458137
728	1.44399	1.50203	0.00457577
729	1.29044	1.50174	0.00457869
730	1.29994	1.50147	0.00458076
731	1.50082	1.50147	0.00457449
732	1.3777	1.5013	0.00457137
733	1.4692	1.50125	0.00456534
734	1.41724	1.50114	0.00456055
735	1.56437	1.50123	0.00455516
736	1.44114	1.50114	0.0045497
737	1.5952	1.50127	0.00454532
738	1.48848	1.50125	0.00453919
739	1.62934	1.50143	0.00453636
740	1.43739	1.50134	0.00453105
741	1.48542	1.50132	0.00452499
742	1.72156	1.50162	0.00452862
743	1.52842	1.50165	0.00452266
744	1.52901	1.50169	0.00451674
745	1.53767	1.50174	0.00451093
746	1.47645	1.5017	0.00450501
747	1.39467	1.50156	0.00450126
748	1.52165	1.50159	0.00449532
749	1.39106	1.50144	0.00449174
750	1.4848	1.50142	0.00448581
751	1.2326	1.50106	0.00449409
752	1.60315	1.5012	0.00449017
753	1.47825	1.50116	0.00448431
754	1.5083	1.50117	0.00447837
755	1.42665	1.50108	0.00447352
756	1.44381	1.501	0.00446825
757	1.61626	1.50115	0.00446494
758	1.78927	1.50153	0.0044752
759	1.27701	1.50124	0.00447907
760	1.31904	1.501	0.00447959
761	1.38848	1.50085	0.00447614
762	1.49591	1.50084	0.00447027
763	1.41694	1.50073	0.00446576
764	1.43422	1.50065	0.00446077
765	1.28028	1.50036	0.00446423
766	1.37834	1.5002	0.00446124
767	1.2432	1.49986	0.00446799
768	1.66598	1.50008	0.0044674
769	1.66092	1.50029	0.00446649
