Gen	Best	Mean	Err
605	64.486	64.486	1.3487e-06
606	64.486	64.486	1.3487e-06
607	64.486	64.486	1.3487e-06
608	64.486	64.486	1.3487e-06
609	64.486	64.486	1.3487e-06
610	64.486	64.486	1.3487e-06
611	64.486	64.486	1.3487e-06
612	64.486	64.486	1.3487e-06
613	64.486	64.486	1.3487e-06
614	64.486	64.486	1.3487e-06
615	64.486	64.486	1.3487e-06
616	64.486	64.486	1.3487e-06
617	64.486	64.486	1.3487e-06
618	64.486	64.486	1.3487e-06
619	64.486	64.486	1.3487e-06
620	64.486	64.486	1.3487e-06
621	64.486	64.486	1.3487e-06
622	64.486	64.486	1.3487e-06
623	64.486	64.486	1.3487e-06
624	64.486	64.486	1.3487e-06
625	64.486	64.486	1.3487e-06
626	64.486	64.486	1.3487e-06
627	64.486	64.486	1.3487e-06
628	64.486	64.486	1.3487e-06
629	64.486	64.486	1.3487e-06
630	64.486	64.486	1.3487e-06
631	64.486	64.486	1.3487e-06
632	64.486	64.486	1.3487e-06
633	64.486	64.486	1.3487e-06
634	64.486	64.486	1.3487e-06
635	64.486	64.486	1.3487e-06
636	64.486	64.486	1.3487e-06
637	64.486	64.486	1.3487e-06
638	64.486	64.486	1.3487e-06
639	64.486	64.486	1.3487e-06
640	64.486	64.486	1.3487e-06
641	64.486	64.486	1.3487e-06
642	64.486	64.486	1.3487e-06
643	64.486	64.486	1.3487e-06
644	64.486	64.486	1.3487e-06
645	64.486	64.486	1.3487e-06
646	64.486	64.486	1.3487e-06
647	64.486	64.486	1.3487e-06
648	64.486	64.486	1.3487e-06
649	64.486	64.486	1.3487e-06
650	64.486	64.486	1.3487e-06
651	64.486	64.486	1.3487e-06
652	64.486	64.486	1.3487e-06
653	64.486	64.486	1.3487e-06
654	64.486	64.486	1.3487e-06
655	64.486	64.486	1.3487e-06
656	64.486	64.486	1.3487e-06
657	64.486	64.486	1.3487e-06
658	64.486	64.486	1.3487e-06
659	64.486	64.486	1.3487e-06
660	64.486	64.486	1.3487e-06
661	64.486	64.486	1.3487e-06
662	64.486	64.486	1.3487e-06
663	64.486	64.486	1.3487e-06
664	64.486	64.486	1.3487e-06
665	64.486	64.486	1.3487e-06
666	64.486	64.486	1.3487e-06
667	64.486	64.486	1.3487e-06
668	64.486	64.486	1.3487e-06
669	64.486	64.486	1.3487e-06
670	64.486	64.486	1.3487e-06
671	64.486	64.486	1.3487e-06
672	64.486	64.486	1.3487e-06
673	64.486	64.486	1.3487e-06
674	64.486	64.486	1.3487e-06
675	64.486	64.486	1.3487e-06
676	64.486	64.486	1.3487e-06
677	64.486	64.486	1.3487e-06
678	64.486	64.486	1.3487e-06
679	64.486	64.486	1.3487e-06
680	64.486	64.486	1.3487e-06
681	64.486	64.486	1.3487e-06
682	64.486	64.486	1.3487e-06
683	64.486	64.486	1.3487e-06
684	64.486	64.486	1.3487e-06
685	64.486	64.486	1.3487e-06
686	64.486	64.486	1.3487e-06
687	64.486	64.486	1.3487e-06
688	64.486	64.486	1.3487e-06
689	64.486	64.486	1.3487e-06
690	64.486	64.486	1.3487e-06
691	64.486	64.486	1.3487e-06
692	64.486	64.486	1.3487e-06
693	64.486	64.486	1.3487e-06
694	64.486	64.486	1.3487e-06
695	64.486	64.486	1.3487e-06
696	64.486	64.486	1.3487e-06
697	64.486	64.486	1.3487e-06
698	64.486	64.486	1.3487e-06
699	64.486	64.486	1.3487e-06
